job.name,scen.name,rep.name,rep.methods,model,coef_of_interest,N,imp_m,imp_maxit,mice_method,dag_name,method,bhat,bhat_lo,bhat_hi,bhat_width,overall.error,beta,form_string,gold_form_string,sancheck.prop_complete,sancheck.di_ours.vars
job_1,1,14,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.0209225750636637,-0.0425296263445849,0.0843747764719123,0.126904402816497,,0,A ~ 1,A1 ~ 1,0.398,A B
job_1,1,14,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,-0.00768059869413873,-0.0905272318976988,0.0751660345094213,0.16569326640712,,0,A ~ 1,A1 ~ 1,0.398,A B
job_1,1,14,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.00144154427768503,-0.0695804658583999,0.07246355441377,0.14204402027217,,0,A ~ 1,A1 ~ 1,0.398,A B
job_1,1,15,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.0406394770873257,-0.0226456429613796,0.103924597136031,0.126570240097411,,0,A ~ 1,A1 ~ 1,0.39,A B
job_1,1,15,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.0234538237426911,-0.0576975824170789,0.104605229902461,0.16230281231954,,0,A ~ 1,A1 ~ 1,0.39,A B
job_1,1,15,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.0383859498077938,-0.0450990822123465,0.121870981827934,0.166970064040281,,0,A ~ 1,A1 ~ 1,0.39,A B
job_1,1,16,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.0189778445653796,-0.0429984773791125,0.0809541665098717,0.123952643888984,,0,A ~ 1,A1 ~ 1,0.4,A B
job_1,1,16,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.0290904451971421,-0.0387407937976132,0.0969216841918975,0.135662477989511,,0,A ~ 1,A1 ~ 1,0.4,A B
job_1,1,16,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.0264445908124058,-0.0402120154028414,0.093101197027653,0.133313212430494,,0,A ~ 1,A1 ~ 1,0.4,A B
job_1,1,17,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,-0.11625780575665,-0.178648874660388,-0.0538667368529132,0.124782137807475,,0,A ~ 1,A1 ~ 1,0.348,A B
job_1,1,17,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,-0.0992319935190682,-0.210611595288468,0.0121476082503315,0.222759203538799,,0,A ~ 1,A1 ~ 1,0.348,A B
job_1,1,17,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,-0.1127798618798,-0.209704190646826,-0.0158555331127738,0.193848657534052,,0,A ~ 1,A1 ~ 1,0.348,A B
job_1,1,18,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,-0.00125337149731633,-0.0623047392096583,0.0597979962150257,0.122102735424684,,0,A ~ 1,A1 ~ 1,0.372,A B
job_1,1,18,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,-0.018366049788659,-0.0890933268076572,0.0523612272303392,0.141454554037996,,0,A ~ 1,A1 ~ 1,0.372,A B
job_1,1,18,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,-0.00736498315886132,-0.0986630903422656,0.0839331240245429,0.182596214366808,,0,A ~ 1,A1 ~ 1,0.372,A B
job_1,1,19,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.0523103669414269,-0.00899711438822051,0.113617848271074,0.122614962659295,,0,A ~ 1,A1 ~ 1,0.417,A B
job_1,1,19,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.0378105444554892,-0.0378074170552723,0.113428505966251,0.151235923021523,,0,A ~ 1,A1 ~ 1,0.417,A B
job_1,1,19,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.0196773568170449,-0.0519733543788511,0.0913280680129409,0.143301422391792,,0,A ~ 1,A1 ~ 1,0.417,A B
job_1,1,20,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,-0.0196006844852723,-0.0791024928064893,0.0399011238359447,0.119003616642434,,0,A ~ 1,A1 ~ 1,0.365,A B
job_1,1,20,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,-0.0276908368274356,-0.104257683795444,0.0488760101405728,0.153133693936017,,0,A ~ 1,A1 ~ 1,0.365,A B
job_1,1,20,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,-0.0184561226153648,-0.107140027898617,0.0702277826678876,0.177367810566505,,0,A ~ 1,A1 ~ 1,0.365,A B
job_1,1,21,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,-0.0178990810246535,-0.0812317943423982,0.0454336322930912,0.126665426635489,,0,A ~ 1,A1 ~ 1,0.385,A B
job_1,1,21,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.00655059659490123,-0.126232956987928,0.13933415017773,0.265567107165658,,0,A ~ 1,A1 ~ 1,0.385,A B
job_1,1,21,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.00856558096982832,-0.0790531131942561,0.0961842751339127,0.175237388328169,,0,A ~ 1,A1 ~ 1,0.385,A B
job_1,1,22,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.0333264447411546,-0.0293880247425672,0.0960409142248764,0.125428938967444,,0,A ~ 1,A1 ~ 1,0.379,A B
job_1,1,22,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.0572940595506907,-0.0237611373136049,0.138349256414986,0.162110393728591,,0,A ~ 1,A1 ~ 1,0.379,A B
job_1,1,22,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.0370681856138771,-0.0351508632847597,0.109287234512514,0.144438097797274,,0,A ~ 1,A1 ~ 1,0.379,A B
job_1,1,23,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,-0.049353696534042,-0.111815590286898,0.0131081972188138,0.124923787505712,,0,A ~ 1,A1 ~ 1,0.364,A B
job_1,1,23,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,-0.0612876831520018,-0.14780823762386,0.0252328713198568,0.173041108943717,,0,A ~ 1,A1 ~ 1,0.364,A B
job_1,1,23,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,-0.0554382409188006,-0.135817360106395,0.0249408782687933,0.160758238375188,,0,A ~ 1,A1 ~ 1,0.364,A B
job_1,1,24,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,-0.0759123989230699,-0.138724978408712,-0.0130998194374281,0.125625158971284,,0,A ~ 1,A1 ~ 1,0.351,A B
job_1,1,24,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,-0.0863628910924762,-0.155729961160886,-0.0169958210240662,0.13873414013682,,0,A ~ 1,A1 ~ 1,0.351,A B
job_1,1,24,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,-0.0881501253660331,-0.182143875840333,0.00584362510826636,0.187987500948599,,0,A ~ 1,A1 ~ 1,0.351,A B
job_1,1,25,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.000599521226852337,-0.0623070358839859,0.0635060783376905,0.125813114221676,,0,A ~ 1,A1 ~ 1,0.409,A B
job_1,1,25,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.00244248469152647,-0.0784956538824637,0.0833806232655166,0.16187627714798,,0,A ~ 1,A1 ~ 1,0.409,A B
job_1,1,25,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.00626360349610518,-0.0613948655424149,0.0739220725346252,0.13531693807704,,0,A ~ 1,A1 ~ 1,0.409,A B
job_1,1,26,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.0333604628991321,-0.0292706280999393,0.0959915538982036,0.125262181998143,,0,A ~ 1,A1 ~ 1,0.387,A B
job_1,1,26,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.0159159701931697,-0.0677764902937029,0.0996084306800423,0.167384920973745,,0,A ~ 1,A1 ~ 1,0.387,A B
job_1,1,26,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.034440514258734,-0.0480967785492769,0.116977807066745,0.165074585616022,,0,A ~ 1,A1 ~ 1,0.387,A B
job_1,1,27,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.0104745387030406,-0.0534795206120941,0.0744285980181752,0.127908118630269,,0,A ~ 1,A1 ~ 1,0.403,A B
job_1,1,27,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.00443973436723904,-0.0856147966974691,0.0944942654319471,0.180109062129416,,0,A ~ 1,A1 ~ 1,0.403,A B
job_1,1,27,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.0319879705559945,-0.041144288071859,0.105120229183848,0.146264517255707,,0,A ~ 1,A1 ~ 1,0.403,A B
job_1,1,28,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,-8.73720858743026e-05,-0.0612427963612271,0.0610680521894785,0.122310848550706,,0,A ~ 1,A1 ~ 1,0.376,A B
job_1,1,28,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,-0.0025141940659189,-0.0742033466749354,0.0691749585430976,0.143378305218033,,0,A ~ 1,A1 ~ 1,0.376,A B
job_1,1,28,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,-0.0282018268870541,-0.100594228740297,0.0441905749661889,0.144784803706486,,0,A ~ 1,A1 ~ 1,0.376,A B
job_1,1,29,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.0237726150094128,-0.0396027727179409,0.0871480027367665,0.126750775454707,,0,A ~ 1,A1 ~ 1,0.377,A B
job_1,1,29,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.014062335159755,-0.0721919406126112,0.100316610932121,0.172508551544732,,0,A ~ 1,A1 ~ 1,0.377,A B
job_1,1,29,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.00567248470720666,-0.0720044129065584,0.0833493823209717,0.15535379522753,,0,A ~ 1,A1 ~ 1,0.377,A B
job_1,1,30,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,-0.0275991847753774,-0.0899860202286833,0.0347876506779285,0.124773670906612,,0,A ~ 1,A1 ~ 1,0.365,A B
job_1,1,30,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,-0.0233622788317951,-0.117986253982636,0.0712616963190455,0.189247950301681,,0,A ~ 1,A1 ~ 1,0.365,A B
job_1,1,30,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,-0.0271978656136966,-0.129285415158191,0.0748896839307974,0.204175099088988,,0,A ~ 1,A1 ~ 1,0.365,A B
job_1,1,31,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,0.0175341107852316,-0.0457455517646782,0.0808137733351414,0.12655932509982,,0,A ~ 1,A1 ~ 1,0.395,A B
job_1,1,31,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-std,0.0161944089772908,-0.0872756195160763,0.119664437470658,0.206940056986734,,0,A ~ 1,A1 ~ 1,0.395,A B
job_1,1,31,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,MICE-ours,0.0419339734026149,-0.0347771257609199,0.11864507256615,0.15342219832707,,0,A ~ 1,A1 ~ 1,0.395,A B
job_1,1,32,gold ; MICE-std ; MICE-ours,OLS,(Intercept),1000,5,100,norm,2B,gold,-0.0226139872676508,-0.0844186884291772,0.0391907138938756,0.123609402323053,,0,A ~ 1,A1 ~ 1,0.371,A B
